index,Spielzeit,Datum,Stück,Autor,Regie,Musik,Bühnenbild,Kostüme,Choreographie,Ortsvermerk,Aufführungsvermerk,SpeziellerAnlass,id,Tag,Nr_Spielzeit,DuplicateDate,Nr_Stück,Neujahr
415,1953_1954,06/05/1954,Die natürliche Tochter,"Goethe, Johann Wolfgang von","Ginsberg, Ernst",0,"Otto, Teo",0,0,Grosse Bühne,0,Im Rahmen der Juni-Festwochen Zürich,1953_195406/05/1954Die natürliche Tochter,1954-06-05,16,False,28,False
416,1953_1954,06/17/1954,Die Barke von Gawdos,"Meier, Herbert","Wälterlin, Oskar",0,"Meyer, Hannes",0,0,Grosse Bühne,Uraufführung,0,1953_195406/17/1954Die Barke von Gawdos,1954-06-17,16,False,29,False
417,1954_1955,09/04/1954,Was ihr wollt,"Shakespeare, William","Wälterlin, Oskar","Mersson, Boris","Otto, Teo",0,0,Grosse Bühne,0,0,1954_195509/04/1954Was ihr wollt,1954-09-04,17,False,0,False
418,1954_1955,09/09/1954,Der Privatsekretär,"Eliot, Thomas Stearns","Westphal, Gert",0,"Meyer, Hannes",0,0,Grosse Bühne,0,0,1954_195509/09/1954Der Privatsekretär,1954-09-09,17,False,1,False
419,1954_1955,09/10/1954,Ein Inspektor kommt,"Priestley, John Boynton","Pfaudler, Franz",0,0,0,0,Theater am Central,0,0,1954_195509/10/1954Ein Inspektor kommt,1954-09-10,17,False,2,False
420,1954_1955,09/11/1954,Die Wildente,"Ibsen, Henrik","Haenel, Günther",0,"Otto, Teo",0,0,Grosse Bühne,0,0,1954_195509/11/1954Die Wildente,1954-09-11,17,False,3,False
421,1954_1955,09/25/1954,Die Schule der Frauen,"Molière, Jean Baptiste","Wälterlin, Oskar",0,"Otto, Teo",0,0,Grosse Bühne,0,0,1954_195509/25/1954Die Schule der Frauen,1954-09-25,17,False,4,False
422,1954_1955,10/09/1954,Leocadia,"Anouilh, Jean","Kraut, Werner","Poulenc, Francis","Monnerat, Pierre",0,"Bamert, Herta",Grosse Bühne,0,0,1954_195510/09/1954Leocadia,1954-10-09,17,False,5,False
423,1954_1955,10/30/1954,König Heinrich IV.,"Shakespeare, William","Lindtberg, Leopold","Kasics, Tibor","Otto, Teo",0,0,Grosse Bühne,0,0,1954_195510/30/1954König Heinrich IV.,1954-10-30,17,False,6,False
424,1954_1955,11/13/1954,In diesem Zeichen,"Schwengeler, Arnold H.","Wälterlin, Oskar","Kasics, Tibor","Otto, Teo",0,0,Grosse Bühne,Uraufführung,0,1954_195511/13/1954In diesem Zeichen,1954-11-13,17,False,7,False
425,1954_1955,11/20/1954,Meuterei auf der Caine,"Wouk, Herman","Hirschfeld, Kurt",0,"Meyer, Hannes",0,0,Grosse Bühne,0,0,1954_195511/20/1954Meuterei auf der Caine,1954-11-20,17,False,8,False
426,1954_1955,12/09/1954,Penthesilea,"Kleist, Heinrich von","Lindtberg, Leopold","Baumann, Herbert","Otto, Teo",0,0,Grosse Bühne,0,0,1954_195512/09/1954Penthesilea,1954-12-09,17,False,9,False
427,1954_1955,12/26/1954,Die kleine Hütte,"Roussin, André","Biberti, Leopold",0,"Krumenacher, Fritz",0,0,Theater am Central,0,0,1954_195512/26/1954Die kleine Hütte,1954-12-26,17,False,10,False
428,1954_1955,12/31/1954,Der schwarze Hecht,"Amstein, Jürg","Lindtberg, Leopold","Burkhard, Paul","Zimmermann, Jörg",0,"Mol, Albert",Grosse Bühne,0,0,1954_195512/31/1954Der schwarze Hecht,1954-12-31,17,False,11,True
429,1954_1955,01/22/1955,Um Lucretia,"Giraudoux, Jean","Wälterlin, Oskar",0,"Clerc, Jean-Louis",0,0,Grosse Bühne,Deutschsprachige Erstaufführung,0,1954_195501/22/1955Um Lucretia,1955-01-22,17,False,12,False
430,1954_1955,01/26/1955,Montserrat,"Roblès, Emmanuel","Kraft, Alexander",0,"Meyer, Hannes",0,0,Theater am Neumarkt,0,0,1954_195501/26/1955Montserrat,1955-01-26,17,False,13,False
431,1954_1955,02/06/1955,Ninotschka,"Lengyel, Melchior","Ammann, Lukas",0,0,0,0,Theater am Central,0,0,1954_195502/06/1955Ninotschka,1955-02-06,17,False,14,False
432,1954_1955,02/12/1955,Das kleine Teehaus,"Patrick, John","Mittler, Leo","Lee, Dai-Keong","Meyer, Hannes",0,0,Grosse Bühne,0,0,1954_195502/12/1955Das kleine Teehaus,1955-02-12,17,False,15,False
433,1954_1955,03/03/1955,Hiob der Sieger,"Welti, Albert Jacob","Streibing, Karlheinz",0,"Otto, Teo",0,0,Grosse Bühne,Uraufführung,0,1954_195503/03/1955Hiob der Sieger,1955-03-03,17,False,16,False
434,1954_1955,03/07/1955,Quadrille,"Coward, Noël","Biberti, Leopold",0,"Krumenacher, Fritz",0,0,Theater am Central,0,0,1954_195503/07/1955Quadrille,1955-03-07,17,False,17,False
435,1954_1955,03/17/1955,Das Ende der 6. Etage,"Gehri, Alfred","Haenel, Günther",0,"Meyer, Hannes",0,0,Grosse Bühne,Uraufführung,0,1954_195503/17/1955Das Ende der 6. Etage,1955-03-17,17,False,18,False
436,1954_1955,04/07/1955,Die Braut von Messina,"Schiller, Friedrich von","Streibing, Karlheinz","Kasics, Tibor","Otto, Teo",0,0,Grosse Bühne,0,0,1954_195504/07/1955Die Braut von Messina,1955-04-07,17,False,19,False
437,1954_1955,04/11/1955,Gigi,Colette,"Biberti, Leopold",0,"Krumenacher, Fritz",0,0,Theater am Central,0,0,1954_195504/11/1955Gigi,1955-04-11,17,False,20,False
438,1954_1955,04/28/1955,Mein Freund Harvey,"Chase, Mary","Schnyder, Franz",0,"Otto, Teo",0,0,Grosse Bühne,0,0,1954_195504/28/1955Mein Freund Harvey,1955-04-28,17,False,21,False
439,1954_1955,05/14/1955,Der Richter von Zalamea,"Calderon de la Barca, Pedro","Kraut, Werner","Kasics, Tibor","Otto, Teo",0,0,Grosse Bühne,0,0,1954_195505/14/1955Der Richter von Zalamea,1955-05-14,17,False,22,False
440,1954_1955,05/15/1955,Von Mäusen und Menschen,"Steinbeck, John","Düggelin, Werner",0,"Meyer, Hannes",0,0,Theater am Central,0,0,1954_195505/15/1955Von Mäusen und Menschen,1955-05-15,17,False,23,False
441,1954_1955,06/02/1955,Iphigenie auf Tauris,"Goethe, Johann Wolfgang von","Wälterlin, Oskar",0,"Otto, Teo",0,0,Grosse Bühne,0,Im Rahmen der Juni-Festwochen Zürich,1954_195506/02/1955Iphigenie auf Tauris,1955-06-02,17,False,24,False
442,1954_1955,06/16/1955,Ein Sommernachtstraum,"Shakespeare, William","Wälterlin, Oskar","Mendelssohn-Bartholdy, Felix","Otto, Teo","Otto, Teo","Volkart, Mario",Freilichtaufführung im Rietberg,Wiederaufnahme,Im Rahmen der Juni-Festwochen Zürich,1954_195506/16/1955Ein Sommernachtstraum,1955-06-16,17,False,25,False
443,1955_1956,09/03/1955,Wie es euch gefällt,"Shakespeare, William","Lindtberg, Leopold","Langnese, Rolf","Otto, Teo",0,"Mol, Albert",Grosse Bühne,0,0,1955_195609/03/1955Wie es euch gefällt,1955-09-03,18,False,0,False
444,1955_1956,09/08/1955,Intermezzo,"Giraudoux, Jean","Wälterlin, Oskar",0,"Otto, Teo",0,0,Grosse Bühne,0,0,1955_195609/08/1955Intermezzo,1955-09-08,18,False,1,False
445,1955_1956,09/15/1955,Jupiter lacht,"Cronin, Archibald Joseph","Braun, Pinkas",0,"Krumenacher, Fritz",0,0,Theater am Central,0,0,1955_195609/15/1955Jupiter lacht,1955-09-15,18,False,2,False
446,1955_1956,10/01/1955,Das kalte Licht,"Zuckmayer, Carl","Haenel, Günther",0,"Meyer, Hannes",0,0,Grosse Bühne,Schweizerische Erstaufführung,0,1955_195610/01/1955Das kalte Licht,1955-10-01,18,False,3,False
447,1955_1956,10/09/1955,Requiem für eine Nonne,"Faulkner, William","Lindtberg, Leopold",0,"Otto, Teo",0,0,Grosse Bühne,Uraufführung,0,1955_195610/09/1955Requiem für eine Nonne,1955-10-09,18,False,4,False
448,1955_1956,10/18/1955,Familiengeheimnisse,"Roussin, André","Ammann, Lukas",0,"Krumenacher, Fritz",0,0,Theater am Central,0,0,1955_195610/18/1955Familiengeheimnisse,1955-10-18,18,False,5,False
449,1955_1956,10/19/1955,Antigone,Sophokles,"Kraut, Werner",0,"Otto, Teo",0,0,Grosse Bühne,0,0,1955_195610/19/1955Antigone,1955-10-19,18,False,6,False
450,1955_1956,11/10/1955,Die chinesische Mauer,"Frisch, Max","Lindtberg, Leopold","Langnese, Rolf","Otto, Teo",0,"Schoop, Trudi",Grosse Bühne,0,0,1955_195611/10/1955Die chinesische Mauer,1955-11-10,18,False,7,False
451,1955_1956,11/21/1955,Der Seiltänzer,"Bus-Fekete, Ladislaus und Marie","Biberti, Leopold",0,"Krumenacher, Fritz",0,0,Theater am Central,0,0,1955_195611/21/1955Der Seiltänzer,1955-11-21,18,False,8,False
